SP_ID,gpw4_2000e,id,gpw4_2005e,gpw4_2010e,gpw4_2015e,gpw4_2020e,ncc4_1992e,ncc4_1993e,ncc4_1994e,ncc4_1995e,ncc4_1996e,ncc4_1997e,ncc4_1998e,ncc4_1999e,ncc4_2000e,ncc4_2001e,ncc4_2002e,ncc4_2003e,ncc4_2004e,ncc4_2005e,ncc4_2006e,ncc4_2007e,ncc4_2008e,ncc4_2009e,ncc4_2010e,ncc4_2011e,ncc4_2012e,dflc_e,dcfu_e,dcsu_e,dfmi_e,dfrw_e,ncc4_2013e
236,0.164620966,237,0.191065729,0.220561609,0.248226315,0.278688252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67839.8125,83856.07031,32642.77734,106255.5781,845690,0
237,2.71764946,238,3.29053998,3.909783363,4.599254608,5.353038311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264015.625,101944.3281,6337.298828,189594.0313,705867.6875,0
238,2.454910517,239,2.752372026,3.04019165,3.320152283,3.593974829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197785,103338.7031,170819.5313,193982.9531,797766.375,0
239,0.552125692,240,0.649622381,0.76230067,0.892183006,1.0094769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149341.8281,115437.8203,84508.64844,93001.26563,593218.25,0
240,3.42982173,241,3.815371752,4.161188126,4.491848946,4.79562664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117943.9688,129238.7344,107801.0625,112840.5781,479292.2813,0
241,1.634046555,242,1.832039356,2.036139727,2.225693703,2.402818203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196180.1875,133998.2188,187889.875,163223.3594,787379,0
242,4.184142113,243,5.21669817,6.375518799,7.715459824,9.237350464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187895.5625,163268.1563,128809.7656,62981.48828,146057.5625,0
243,3.335387707,244,3.703898907,4.029487133,4.337985992,4.626150131,4.141074657,5.28757143,0.229800895,6.681079388,7.90639782,7.500720501,7.625398159,6.701866627,5.304794312,5.411201954,8.255813599,6.728078365,7.760359764,7.426586628,7.675158024,6.692685127,4.518483639,8.521175385,7.886706352,8.603502274,8.14320755,1016869.125,758182.0625,645500.125,638287.3125,37358.57031,9.176470588
244,0.040604539,245,0.04524596,0.049311314,0.053195469,0.056846544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64177.58984,119011.7578,91761.35938,61484.33594,701712.9375,0
245,35.66936493,246,38.12918472,39.94327927,41.3862381,42.42362213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.572823644,1.02106142,1.958888054,1.540132999,0.965339124,3.730378151,1.000570178,830858.3125,324130.3438,512964.3125,431627.3438,31873.66797,1.50877193
246,63.94433975,247,60.74459076,56.09936523,51.26296997,46.80380249,0,5.344801903,0,3.488466978,5.434581757,2.30229187,4.774898052,0.491819859,3.484789848,2.257189512,5.347300529,3.90804863,4.210793972,0.012869918,0.477111369,3.906210184,4.020906448,5.87932539,4.856398582,8.756961823,4.592139244,1306642.75,930306.5625,869591.6875,750713.3125,18258.14648,3
247,4.577367783,248,5.557518959,6.616636753,7.789641857,9.080899239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,676445.9375,203761.3125,366245.5,396016.4688,1547075.75,0
248,34.86595917,249,33.8973999,32.26963425,30.41123199,28.35961151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.050295178,0.038358729,0,1753391.375,1280237.75,1383481.75,1248399,34133.01953,0
249,2.342170954,250,2.678104162,3.004225731,3.344133139,3.663029194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1045868.688,552018.75,701484.375,615151.25,30561.79883,0
250,20.50975227,251,21.30429077,21.66654015,21.81277275,21.73002815,0,0,0,0,0,0,0,0,0,0,0,0,0.735950947,0,1.439539433,0,2.001974106,2.015622139,2.40711689,2.937806368,2.173835754,807451.875,325191.7813,471940.1563,387733,16093.11914,1.853932584
251,1.881297708,252,1.701469302,1.510360122,1.325522542,1.150851965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,688259.375,18458.97656,25166.70313,113336.0938,1219596.125,0
252,1.359496236,253,1.486969233,1.593734145,1.690161228,1.773882747,0,0.045310192,0,0.001649223,0.021301478,0.028095316,0.022802401,0.058210444,0.134346202,0.110705838,0.101545319,0.472583145,0.412725031,0.440997839,0.635645449,0.346155226,0.536592126,0.525364935,0.667137682,0.668703854,0.40624404,31253.37109,98368.29688,118564.8672,36664.5,15931.86914,0.690072639
253,2.452647448,254,3.150184631,3.963905334,4.936018944,6.081748486,0,0,0,0,0,0,0,0,0,0,0,0,0.227322966,0,0,0,0,0,0.197412044,0.206385314,0.164510041,47626.63281,111026.2656,266295.0313,208846.8125,636001.9375,0
254,0.183563471,255,0.216714501,0.251471519,0.289781511,0.331544667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277406.9375,23362.13867,245964.3281,470284.75,1605796.125,0
255,1.976075292,256,1.910634041,1.80592525,1.6850456,1.57219708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90127.30469,11839.70703,204603.6406,81790.07813,763796.6875,0
256,9.428613663,257,9.343436241,9.077640533,8.729829788,8.296789169,0,0,0,0,0,0,0,0,0.021154605,0.056128565,0.141433164,0.168931797,0.073728532,0,0,0.017477125,0.157483459,0.055754416,0.1106814,0.085350588,0,1512685.25,1050247.75,1140904,1005455,76061.4375,0
257,3.877845287,258,4.260691643,4.584023476,4.88132906,5.144839287,0,0,0,0,0,0,0.33756578,0,0,0,0,0,0,0,0,0,0,0,0,0.079541363,0.064021096,97927.55469,160481.9844,321204.4688,240362.8438,630832.625,0.105621806
258,0.266300231,259,0.227407634,0.190835521,0.158040449,0.130238101,0,0,0,0,0,0.000243928,0.004644128,0.000480164,0.002610407,0.000593679,0.005503255,0.000738092,0.00528675,0.001890803,0.002206647,0.00232596,0.008551155,0.010087277,0.005601992,0.011846147,0.002471292,760244.375,47811.8125,27587.66797,33523.26563,1223691.5,0.018509498
259,0.01344686,260,0.013655876,0.013594434,0.013396713,0.013059898,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000112799,0,0,0,0,0,0,0,636354.4375,138692.3438,28294.10156,44937.27344,1030887.813,0
260,0.387924612,261,0.443776429,0.506007016,0.569000959,0.634802043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761234,48360.29688,144791.2188,181892.5938,1357238.5,0
261,1.126032114,262,1.329159856,1.579581738,1.90680635,2.331141472,0,0,0,0.01873729,0.036461756,0.03747458,0.159307033,0,0.012734549,0,0,0,0,0.048615675,0.043045126,0.052160561,0.06178242,0.089128733,0.146651924,0.07494916,0.127097815,283110.2813,145619.9375,293491.4688,32045.17969,604125.9375,0
262,204.5968475,263,222.9674988,238.3054199,251.9765625,263.5957031,0,0,0,1.616415739,0.619873643,1.234719992,2.138973475,4.615204811,2.301111698,1.743418813,1.458010674,3.159317732,3.446657658,4.679368973,5.109061718,4.986501694,5.150650978,2.560251951,4.203525066,2.04614687,7.419141293,526672.75,40391.06641,4589.075684,146160.875,965182.8125,5.347826087
263,35.61919022,264,45.24581909,56.23452759,69.15708923,84.22187805,0,0.141193435,0,0,1.30448091,0.046058793,4.113607407,2.030437469,2.199933529,1.995233774,1.587214708,1.286369562,4.646715164,3.241545916,2.616584301,3.001866817,5.427488327,6.228299618,4.225955963,8.434553146,4.659422874,99072.54688,127941.2969,180615.8594,55690.67578,316960.625,4.866666667
264,0.431347728,265,0.490103215,0.545115709,0.59993732,0.654189467,0.019038644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205591.2188,247720.8125,68238.51563,56991.17188,573231.375,0
265,8.18406868,266,9.048339844,9.757900238,10.43068504,11.02809238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43573.89844,54751.71484,33618.80859,47306.17188,451855.4375,0
266,4.273886681,267,4.233441353,4.107002258,3.947119951,3.751908064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1450276.5,1015971.125,1060000.75,921151.25,41562.49219,0
267,9.503880501,268,9.852441788,9.988565445,10.03019333,9.970740318,0.356337875,0.71267581,0.880364239,1.614001036,1.184299588,0.209610522,0.377298951,0.681234121,0,0.880364239,0.869883657,0.628831625,0.251532644,0,0,0,0,0,0.503065288,0.356337935,0,1078491.75,749242,765653,825087.375,109510.8125,0.308943089
268,0.004782578,269,0.004886128,0.004933222,0.004977257,0.005026259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84973.14844,919.3703003,23716.23633,171129.7969,886689,0
269,111.2303619,270,114.4948502,115.7070236,115.6868286,114.390625,29.31031609,22.95546532,9.440310478,17.06348991,16.73117638,18.59830093,27.28171539,27.74006462,17.257967,20.46234703,15.94786167,16.18712425,13.06836128,33.04740143,25.48218346,19.24146461,20.29299355,16.11994934,13.31305218,11.49215889,23.47911263,1255402,988382.25,927594.375,955415.1875,5887.807617,21
270,98.07151794,271,104.1137619,108.1782379,111.2555618,113.2097397,0,0,0,0,0,0,0,0,0.195762634,0,0,0,0,0.885371566,0.917998672,0,0.195762634,0,0.109252669,0,0.885371566,1407115.375,966494.875,1146780.875,847666.3125,332146.8438,0.466666667
271,3.847771168,272,3.667474031,3.429466009,3.176059961,2.91233778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,794946.5625,25991.18359,144029.25,157256.375,1367585.375,0
272,0.106624387,273,0.116445959,0.126300082,0.134688437,0.141401917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,484727.5938,245638.3438,364447,576564.625,1637993.875,0
273,20.88978767,274,21.56175995,21.79805756,21.80199432,21.59884644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1363217.625,916714.25,1068069.25,749439.625,266748.5938,0
